RawPath,Sample Name,Cell_type
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589150_cell_312.contacts.pairs.txt.gz,GSM3589150,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589151_cell_313.contacts.pairs.txt.gz,GSM3589151,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589152_cell_314.contacts.pairs.txt.gz,GSM3589152,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589153_cell_315.contacts.pairs.txt.gz,GSM3589153,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589154_cell_316.contacts.pairs.txt.gz,GSM3589154,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589155_cell_317.contacts.pairs.txt.gz,GSM3589155,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589156_cell_318.contacts.pairs.txt.gz,GSM3589156,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589157_cell_319.contacts.pairs.txt.gz,GSM3589157,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589158_cell_320.contacts.pairs.txt.gz,GSM3589158,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589159_cell_321.contacts.pairs.txt.gz,GSM3589159,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589160_cell_322.contacts.pairs.txt.gz,GSM3589160,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589161_cell_323.contacts.pairs.txt.gz,GSM3589161,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589162_cell_324.contacts.pairs.txt.gz,GSM3589162,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589163_cell_325.contacts.pairs.txt.gz,GSM3589163,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589164_cell_326.contacts.pairs.txt.gz,GSM3589164,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589165_cell_327.contacts.pairs.txt.gz,GSM3589165,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589166_cell_328.contacts.pairs.txt.gz,GSM3589166,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589167_cell_329.contacts.pairs.txt.gz,GSM3589167,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589168_cell_330.contacts.pairs.txt.gz,GSM3589168,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589169_cell_331.contacts.pairs.txt.gz,GSM3589169,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589170_cell_332.contacts.pairs.txt.gz,GSM3589170,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589171_cell_333.contacts.pairs.txt.gz,GSM3589171,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589172_cell_334.contacts.pairs.txt.gz,GSM3589172,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589173_cell_335.contacts.pairs.txt.gz,GSM3589173,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589174_cell_336.contacts.pairs.txt.gz,GSM3589174,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589175_cell_337.contacts.pairs.txt.gz,GSM3589175,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589176_cell_338.contacts.pairs.txt.gz,GSM3589176,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589177_cell_339.contacts.pairs.txt.gz,GSM3589177,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589178_cell_340.contacts.pairs.txt.gz,GSM3589178,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589179_cell_341.contacts.pairs.txt.gz,GSM3589179,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589180_cell_342.contacts.pairs.txt.gz,GSM3589180,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589181_cell_343.contacts.pairs.txt.gz,GSM3589181,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589182_cell_344.contacts.pairs.txt.gz,GSM3589182,retina
